ID_pedido,ID_proveedor,Fecha,Estado
pedi01234aqvDER,provAgC974SP,14/12/2023,Por hacer
pedi01234cjmyTX,provEdF497FR,14/12/2023,Por hacer
pedi01234dfKUVY,provSFS792IT,14/12/2023,Por hacer
pedi01234qAJLOP,provNaG379UK,14/12/2023,Por hacer
pedi01234cgxDFH,provPVT362GE,14/12/2023,Por hacer
pedi01234jpwBOZ,provTF1453FR,14/12/2023,Por hacer
pedi01234dnpqXY,provZSS361SP,14/12/2023,Por hacer
pedi01234vABPRT,provB.S543IT,14/12/2023,Por hacer
pedi01234girBKS,provEvo408GE,14/12/2023,Por hacer
pedi01234vxILMQ,provGES446SP,14/12/2023,Por hacer
pedi01234enJVXZ,provTF1453FR,14/12/2023,Por hacer
pedi01234nzDGPR,provRDM331IT,14/12/2023,Por hacer
pedi01234ckpKLQ,provBFS790IT,14/12/2023,Por hacer
pedi01234fhqwPV,provPIS094IT,14/12/2023,Por hacer
pedi01234cekwFN,provSaS872IT,14/12/2023,Por hacer
pedi01234aexQTY,provAgC974SP,14/12/2023,Por hacer
pedi01234ilnFGO,provUni273IR,14/12/2023,Por hacer
pedi01234oxALTZ,provGla904IR,14/12/2023,Por hacer
pedi01234cgjsLW,provUni273IR,14/12/2023,Por hacer
pedi01234dqvGKL,provUni273IR,14/12/2023,Por hacer
pedi01234myAEUZ,provTF1453FR,14/12/2023,Por hacer
pedi01234koHMXZ,provNUB454GE,14/12/2023,Por hacer
pedi01234uwDHYZ,provRDM331IT,13/12/2023,Por hacer
pedi01234egsOQV,provAgC974SP,13/12/2023,Por hacer
pedi01234bfpzHR,provTIS088SP,13/12/2023,Por hacer
pedi01234abgmpU,provFUM061IT,13/12/2023,Por hacer
pedi01234opxyHW,provVVB039GE,13/12/2023,Por hacer
pedi01234bdjAHQ,provTTA249IT,13/12/2023,Por hacer
pedi01234lnuvxY,provDia214UK,13/12/2023,Por hacer
pedi01234iklyKV,provFnD808FR,13/12/2023,Por hacer
pedi01234opsNRZ,provCro019GE,13/12/2023,Por hacer
pedi01234avGKMS,provUni273IR,13/12/2023,Por hacer
pedi01234fpAHKR,provSMI564UK,13/12/2023,Por hacer
pedi01234bfpCDO,provEMC389IT,13/12/2023,Por hacer
pedi01234adfuyB,provKUK710GE,13/12/2023,Por hacer
pedi01234muCJKY,provEQT795IR,13/12/2023,Por hacer
pedi01234cgnquN,provAgC974SP,13/12/2023,Por hacer
pedi01234uxyzFY,provNUB454GE,13/12/2023,Por hacer
pedi01234cGILOS,provPuG251FR,13/12/2023,Por hacer
pedi01234lopuES,provSaS872IT,13/12/2023,Por hacer
pedi01234fijmBG,provSFS792IT,13/12/2023,Por hacer
pedi01234ahmpzF,provMaM160UK,13/12/2023,Por hacer
pedi01234oHNRXZ,provSPH558SP,13/12/2023,Por hacer
pedi01234ektGQR,provGla904IR,13/12/2023,Por hacer
pedi01234gGINPY,provPIS094IT,13/12/2023,Por hacer
pedi01234jPQRSY,provDPG813FR,13/12/2023,Por hacer
pedi01234cpstEL,provAnt183SP,13/12/2023,Por hacer
pedi01234kuAIJT,provRat613GE,13/12/2023,Por hacer
pedi01234pDLRUV,provPuG251FR,13/12/2023,Por hacer
pedi01234aclFOT,provVos971GE,13/12/2023,Por hacer
pedi01234ekFGYZ,provEvo408GE,13/12/2023,Por hacer
pedi01234emRSUW,provFaB915SP,13/12/2023,Por hacer
pedi01234ouvwHQ,provPIS094IT,13/12/2023,Por hacer
pedi01234kzGJWX,provPIS094IT,13/12/2023,Por hacer
pedi01234blmnEL,provSMI564UK,13/12/2023,Por hacer
pedi01234cdfmuM,provPuG251FR,13/12/2023,Por hacer
pedi01234demKNQ,provRot145UK,12/12/2023,['Recibido']
pedi01234grstFS,provTF1453FR,12/12/2023,['De Camino']
pedi01234nCFHPZ,provRat613GE,12/12/2023,['Recibido']
pedi01234mtBCHX,provAgC974SP,12/12/2023,['Pagado']
pedi01234ekBDMN,provPVT362GE,12/12/2023,['Recibido']
