ID_pieza,ID_pedido,Cantidad
piezSie736AmHer,pedi01234aqvDER,5
piezHdc662RsCon,pedi01234cjmyTX,10
piezCin426RsMer,pedi01234dfKUVY,2
piezCab389MrInf,pedi01234qAJLOP,6
piezMdn703RsMob,pedi01234cgxDFH,8
piezArm468VeMob,pedi01234jpwBOZ,8
piezPin879AmHer,pedi01234dnpqXY,2
piezPes165RjAli,pedi01234vABPRT,9
piezDes574MrHer,pedi01234girBKS,9
piezCin389NgMer,pedi01234vxILMQ,9
piezSna037VeAli,pedi01234enJVXZ,9
piezLác637MoAli,pedi01234nzDGPR,10
piezMar400MoHer,pedi01234ckpKLQ,1
piezCre742BlMer,pedi01234fhqwPV,2
piezCha951NgCos,pedi01234cekwFN,7
piezPCs051VeInf,pedi01234aexQTY,4
piezCha252BlCos,pedi01234ilnFGO,2
piezSil284VeMob,pedi01234oxALTZ,10
piezBeb593VeAli,pedi01234cgjsLW,7
piezTec517BlInf,pedi01234dqvGKL,5
piezMar092AmHer,pedi01234myAEUZ,6
piezLij663AzHer,pedi01234koHMXZ,2
piezPes165RjAli,pedi01234uwDHYZ,6
piezSna242MrAli,pedi01234egsOQV,1
piezSof104RsMob,pedi01234bfpzHR,10
piezPaf997MoAli,pedi01234abgmpU,3
piezTec387MoInf,pedi01234opxyHW,3
piezPer392RjCos,pedi01234bdjAHQ,7
piezMon238NgInf,pedi01234lnuvxY,9
piezPor649RsInf,pedi01234iklyKV,8
piezPor456MoInf,pedi01234opsNRZ,6
piezBot033NgMer,pedi01234avGKMS,4
piezCar418NaAli,pedi01234fpAHKR,5
piezHil389RjMer,pedi01234bfpCDO,5
piezFru662RjAli,pedi01234adfuyB,2
piezPeg676AmMer,pedi01234muCJKY,7
piezSna242MrAli,pedi01234cgnquN,10
piezVer548VeAli,pedi01234uxyzFY,8
piezPre320RjAli,pedi01234cGILOS,5
piezLác975BlAli,pedi01234lopuES,4
piezEnc433MrMer,pedi01234fijmBG,6
piezTdP295BlCon,pedi01234ahmpzF,9
piezCha083VeCos,pedi01234oHNRXZ,2
piezCab832MoInf,pedi01234ektGQR,2
piezTdP705VeCon,pedi01234gGINPY,10
piezMes425AzMob,pedi01234jPQRSY,9
piezAce559VeCos,pedi01234cpstEL,6
piezTec830AmInf,pedi01234kuAIJT,8
piezLla740AzHer,pedi01234pDLRUV,8
piezLdm602MoCon,pedi01234aclFOT,2
piezCim365BlHer,pedi01234ekFGYZ,6
piezMes662NaMob,pedi01234emRSUW,10
piezNiv451AzHer,pedi01234ouvwHQ,1
piezTdP705VeCon,pedi01234kzGJWX,9
piezLác436NaAli,pedi01234blmnEL,7
piezEdu181RsCos,pedi01234cdfmuM,5
piezCla582VeCon,pedi01234demKNQ,3
piezPer017AmCos,pedi01234grstFS,8
piezTal839BlHer,pedi01234nCFHPZ,3
piezVer939RsAli,pedi01234mtBCHX,8
piezTdP491RsCon,pedi01234ekBDMN,3
piezMon218VeInf,pedi01234BDFINZ,3
piezCem032MrCon,pedi01234aemvAG,3
piezNiv780MoHer,pedi01234bsyMWY,10
piezLác492RjAli,pedi01234kmoDGX,5
piezLij454BlHer,pedi01234fhzVYZ,9
piezBeb687MrAli,pedi01234mnACDZ,7
piezFru993MrAli,pedi01234enptST,9
piezLám293RsMob,pedi01234deCHYZ,10
piezHdc554MrCon,pedi01234bdmzFU,1
piezAur943MrInf,pedi01234puzOQY,5
piezEst664AmMob,pedi01234axHKPX,7
piezCre352NgMer,pedi01234uKMRUY,10
piezSil262VeMob,pedi01234afiEQV,3
piezPre181RsAli,pedi01234kwxQXY,3
piezCin982BlHer,pedi01234disDFW,9
piezHdc744NaCon,pedi01234ejuANU,8
piezPCs280AzInf,pedi01234loxOTZ,5
piezPin757MoHer,pedi01234lopvOT,7
piezPes116AzAli,pedi01234cloHNT,1
piezCin994MrHer,pedi01234ilzGIX,5
piezPeg388NaMer,pedi01234npvFXZ,3
piezCab096RsInf,pedi01234ayABST,10
piezTal793NaHer,pedi01234qFHLXZ,8
piezLla740AzHer,pedi01234enrLSV,2
piezPeg973MrMer,pedi01234dfhHQT,7
